published,channel_title,channel_id,title,url,video_id,description,viewCount,likeCount,commentCount,duration
2025-09-27T05:00:36Z,20VC with Harry Stebbings,UCf0PBRjhf0rF8fWBIxTuoWA,The Importance of Money,https://www.youtube.com/watch?v=VqGa0pos_SU,VqGa0pos_SU,"#20VC with Revolut Business GM James Gibson. Out now on Spotify. Link in bio.⁠
—⁠
#HarryStebbings #Business #shorts",6548,67,1,PT22S
2025-09-27T05:11:09Z,Acquired,UCyFqFYfTW2VoIQKylJ04Rtw,The Shield That Protects the Crown,https://www.youtube.com/watch?v=ldqWapMRc8Y,ldqWapMRc8Y,"The Shield That Protects the Crown

#business #podcast #watch #rolex

Listen to the full episode 🎙️ Rolex - Spring 2025, Episode 2",2095,43,1,PT55S
2025-09-27T12:00:21Z,Latent Space,UCxBcwypKK-W3GHd_RZ9FZrQ,Countries Are Racing to Own Their AI 🏃‍♂️,https://www.youtube.com/watch?v=7wjTwl3vKiw,7wjTwl3vKiw,"Inside look at who's actually training their own AI models and why countries are rushing to build ""sovereign AI"" - fascinating insights from Datology's CEO on the future of AI independence.",587,5,0,PT54S
2025-09-27T14:00:16Z,Masters of Scale,UCiemDAS1bXMBTx3jIIOukFg,Signal's Meredith Whittaker: Protecting privacy for everyone,https://www.youtube.com/watch?v=5U1gl0sSui4,5U1gl0sSui4,"Apply to attend Masters of Scale Summit 2025 (Oct. 7-9): https://www.summit.mastersofscale.com

In today’s world, almost everything we do is tracked, stored, and analyzed. But as Meredith Whittaker, President of Signal, reminds us, privacy used to be the norm. In conversation with Rapid Response host Bob Safian at the 2024 Masters of Scale Summit, Meredith shares why Signal’s mission is to preserve privacy as the default in digital communication. She also discusses how Signal grew from a hacker-driven experiment into the world’s most widely used truly private messenger — along with the tradeoffs between freedom, privacy, and how technology can be misused.

📫 THE MASTERS OF SCALE NEWSLETTER
35,000+ read our free weekly newsletter packed with insights from the world’s most iconic business leaders. Sign up: https://hubs.la/Q01RPQH-0

🎧 LISTEN TO THE PODCAST
Apple Podcasts: https://mastersofscale.com/ApplePodcasts
Spotify: https://mastersofscale.com/Spotify

💻 LEARN MORE
Our website: https …",63,1,0,PT5M55S
2025-09-27T14:00:35Z,20VC with Harry Stebbings,UCf0PBRjhf0rF8fWBIxTuoWA,What Makes Nik Storonsky So Special,https://www.youtube.com/watch?v=Fw6ckB3lYzg,Fw6ckB3lYzg,"#20VC with Revolut Business GM James Gibson. Out now on Spotify. Link in bio.⁠
—⁠
#HarryStebbings #Business #shorts",5727,77,2,PT21S
2025-09-27T15:02:42Z,a16z,UC9cn0TuPq4dnbTY-CBsm8XA,"The Common Thread of All Technology: Monitoring the Situation, Ep.1",https://www.youtube.com/watch?v=zqrxCx7KKLY,zqrxCx7KKLY,"Announcing our new show, Monitoring the Situation, hosted by a16z General Partners Erik Torenberg and Katherine Boyle, with guest Eddie Lazzarin, CTO of a16z crypto. 

In this first episode, we ask how American Dynamism, consumer, games, and crypto all fit together, from Palmer/Oculus to Marc Andreessen’s Techno-Optimist Manifesto, while also exploring crypto × AD values, parenting in the AI era, and how internet subcultures shape the news.

Timecodes: 
0:00  The Coherence of a16z’s Investments
2:23  The Techno-Optimist Manifesto & Founder’s Journey
4:12  Toys, Games, and Innovation
6:11  American Dynamism Meets Crypto
9:36  Philosophical Alignment of Founders
11:56  The Uniquely American Startup Culture
13:48  AI, Healthcare, and the Wisdom of Crowds
20:27  ADHD, Autism, and the Incentives of Diagnosis
26:58  Rethinking Education: Alpha School & Learning Models
34:46  Parenting, Family Structures, and Modern Challenges
41:41 Internet Culture, Fragmentation, and Social Platforms
52:04  …",1017,,1,PT59M19S
2025-09-27T17:37:49Z,"No Priors: AI, Machine Learning, Tech, & Startups",UCSI7h9hydQ40K5MJHnCrQvw,AI Factories are Building the Future,https://www.youtube.com/watch?v=-9GtkSnlSmA,-9GtkSnlSmA,"Will ""AI factories"" become a thing?

Jensen Huang believes the millionfold drop in compute cost over the past decade is paving the way for an entirely new class of machines.

Watch the full episode via the link in the comments.

#ai #tech",1145,22,0,PT38S
2025-09-27T19:00:16Z,Latent Space,UCxBcwypKK-W3GHd_RZ9FZrQ,"AI Feels Like Alchemy, Not Engineering",https://www.youtube.com/watch?v=AyM9WBcMdfg,AyM9WBcMdfg,"Jeff, the founder of Chroma, explains why building AI systems often feels more like alchemy than engineering—and why that needs to change. A powerful insight into the challenges of going from demo to production in AI.",90,2,0,PT1M8S
2025-09-27T22:54:04Z,Dwarkesh Patel,UCXl4i9dYBrFOabk0xGmbkRA,Why AlphaZero Wasn't Surprising - Richard Sutton,https://www.youtube.com/watch?v=yNYzCnkY-MY,yNYzCnkY-MY,,7616,180,5,PT1M4S
