published,channel_title,channel_id,title,url,video_id,description,viewCount,likeCount,commentCount,duration
2025-09-19T05:01:07Z,20VC with Harry Stebbings,UCf0PBRjhf0rF8fWBIxTuoWA,"""Opendoor is a Software Business""",https://www.youtube.com/watch?v=wmBEfO8dzwM,wmBEfO8dzwM,"#20VC with Scale GP Rory O’Driscoll, SaaStr Founder Jason Lemkin & Opendoor CEO Kaz Nejatian. Link in bio.
—
#HarryStebbings #Business #shorts",6996,109,0,PT22S
2025-09-19T12:01:32Z,Latent Space,UCxBcwypKK-W3GHd_RZ9FZrQ,Digital Minds The Future of Dating,https://www.youtube.com/watch?v=g3eFf_ccm8I,g3eFf_ccm8I,,674,3,1,PT43S
2025-09-19T14:00:20Z,20VC with Harry Stebbings,UCf0PBRjhf0rF8fWBIxTuoWA,The Biggest Mistake As A Founder,https://www.youtube.com/watch?v=DLAS1es2bh8,DLAS1es2bh8,"#20VC with Decagon Co-Founder & CEO Jesse Zhang. Link in bio.
—
#HarryStebbings #Business #shorts",7217,207,1,PT24S
2025-09-19T14:15:04Z,Masters of Scale,UCiemDAS1bXMBTx3jIIOukFg,How to build #mentor relationships | Masters of Scale,https://www.youtube.com/watch?v=7I30mM9WAFQ,7I30mM9WAFQ,"Entrepreneur and author Janice Omadeke shares a powerful reminder: mentorship isn’t about dependence — it’s about growth. In conversation with Masters of Scale host Jeff Berman, she explains how to set clear objectives with your mentors, stay open to wisdom from many sources, and trust your own instincts. 

📫 THE MASTERS OF SCALE NEWSLETTER
35,000+ read our free weekly newsletter packed with insights from the world’s most iconic business leaders. Sign up: https://hubs.la/Q01RPQH-0

🎧 LISTEN TO THE PODCAST
Apple Podcasts: https://mastersofscale.com/ApplePodcasts
Spotify: https://mastersofscale.com/Spotify

💻 LEARN MORE
Our website: https://mastersofscale.com

🚀 JOIN OUR COMMUNITY
LinkedIn: https://linkedin.com/showcase/11096326
Facebook: https://facebook.com/mastersofscale
Instagram: https://instagram.com/mastersofscale
X/Twitter: https://twitter.com/mastersofscale
TikTok: https://tiktok.com/@mastersofscale

💡ABOUT US
On Masters of Scale, iconic business leaders share lessons and strate …",621,3,0,PT59S
2025-09-19T16:32:17Z,Dwarkesh Patel,UCXl4i9dYBrFOabk0xGmbkRA,The US Navy's Deadliest Mistake of WW2 - Sarah Paine,https://www.youtube.com/watch?v=Bof9Ptve74Q,Bof9Ptve74Q,,633981,14566,385,PT1M9S
2025-09-19T17:27:59Z,Acquired,UCyFqFYfTW2VoIQKylJ04Rtw,Why Good Software Isn't Always Great,https://www.youtube.com/watch?v=PIbzUyl5ZTA,PIbzUyl5ZTA,"Why Good Software Isn’t Always Great

#business #podcast 

Listen to the full ACQ2 episode 🎙️ How to Live in Everyone Else's Future (with Shopify CEO Tobi Lütke)",2600,43,3,PT32S
2025-09-19T18:17:48Z,Lex Fridman,UCSHZKyawb77ixDdsGog4iWA,"Norman Ohler: Hitler, Nazis, Drugs, WW2, Blitzkrieg, LSD, MKUltra & CIA | Lex Fridman Podcast #481",https://www.youtube.com/watch?v=SvKv7D4pBjE,SvKv7D4pBjE,"Norman Ohler is a historian and author of ""Blitzed: Drugs in the Third Reich,"" a book that investigates the role of psychoactive drugs, particularly stimulants such as methamphetamine, in the military history of World War II. It is a book that two legendary historians Ian Kershaw and Antony Beevor give very high praise to for its depth of research. Norman also wrote ""Tripped: Nazi Germany, the CIA, and the Dawn of the Psychedelic Age"", and he is working on a new book ""Stoned Sapiens"" looking at the history of human civilization through the lens of drugs.
Thank you for listening ❤ Check out our sponsors: https://lexfridman.com/sponsors/ep481-sb
See below for timestamps, transcript, and to give feedback, submit questions, contact Lex, etc.

*Transcript:*
https://lexfridman.com/norman-ohler-transcript

*CONTACT LEX:*
*Feedback* - give feedback to Lex: https://lexfridman.com/survey
*AMA* - submit questions, videos or call-in: https://lexfridman.com/ama
*Hiring* - join our team: https://lex …",147146,3203,473,PT4H25M45S
2025-09-19T19:00:57Z,Latent Space,UCxBcwypKK-W3GHd_RZ9FZrQ,Simulating Human Conversations,https://www.youtube.com/watch?v=wDL4un_NDEI,wDL4un_NDEI,,720,8,0,PT37S
2025-09-19T22:46:41Z,All-In Podcast,UCESLZhusAkFfsNsApnjF_Cg,"Charlie Kirk Murder, Assassination Culture in America, Jimmy Kimmel Suspended, Ellison Media Empire",https://www.youtube.com/watch?v=1X6xwxQRXlY,1X6xwxQRXlY,"(00:00) Reacting to Charlie Kirk's death: impact, legacy, and what's wrong in America
(15:27) Assassination culture in America, online radicalization
(30:37) Jimmy Kimmel suspended indefinitely by ABC
(49:11) The Ellison Media Empire: Paramount, Warner Bros Discovery, TikTok
(1:01:09) Besties discover their recent YouTube videos have been flagged as ""Restricted""
(1:06:23) All-In Summit recap

Follow the besties: 
https://x.com/chamath
https://x.com/Jason
https://x.com/DavidSacks
https://x.com/friedberg

Follow on X:
https://x.com/theallinpod

Follow on Instagram:
https://www.instagram.com/theallinpod

Follow on TikTok:
https://www.tiktok.com/@theallinpod

Follow on LinkedIn: 
https://www.linkedin.com/company/allinpod

Intro Music Credit:
https://rb.gy/tppkzl
https://x.com/yung_spielburg

Intro Video Credit:
https://x.com/TheZachEffect

Referenced in the show:
https://x.com/charliekirk11/status/1909391943802703899
https://www.bbc.com/news/articles/c99g1e0z2ero
https://networkcontagion.u …",343931,10671,1337,PT1H22M22S
2025-09-19T23:23:06Z,This Week in Startups,UCkkhmBWfS7pILYIk0izkc3A,Meta’s “creepy” new Ray Bans and a visit from Lovable CEO Anton Osika! | E2181,https://www.youtube.com/watch?v=ST4UwQodhDs,ST4UwQodhDs,"Today’s show: 

On an action-packed TWiST, Alex and Jason check out Meta’s latest wearables, which promise to fix the “constantly staring down at your phone” problem and prevent you from blocking that little light letting others know you’re filming them. Think the upgrade is worth $799 of your hard-earned money?

PLUS, Lovable CEO Anton Osika stops by to answer YOUR questions, talk about how people are using the iconic vibecoding app, balancing accessibility and user engagement with the need to actually bring in revenue, and why Stockholm has become arguably Europe’s leading tech hub. 

AND Beehiiv joins with Discord, Google bakes Gemini into Chrome, and MORE of the week’s biggest tech news. Check out all this and more in a brand-new “This Week in Startups”!

Timestamps:

(0:00) Why Jason thinks Meta’s new $799 Smart Ray Bans, which covertly record people in 3K, are creepy! 

(04:14) Why, in the technology business, not quitting is how you succeed.

(09:47) .TECH: Say it without saying …",1739,39,7,PT1H14M57S
2025-09-20T00:12:06Z,This Week in Startups,UCkkhmBWfS7pILYIk0izkc3A,"META AI Glasses, the camera is a problem…",https://www.youtube.com/watch?v=ZfUYqprP_BI,ZfUYqprP_BI,"Subscribe to This Week In Startups: https://www.youtube.com/@startups/featured

Follow our hosts!
https://x.com/Jason
https://x.com/alex
https://x.com/lon

Follow on X:
https://x.com/twistartups

Follow on Instagram:
https://www.instagram.com/thisweekinstartups/?hl=en)

Follow on TikTok:
https://www.tiktok.com/@thisweekinstartups?lang=en

Follow on LinkedIn: 
https://www.linkedin.com/company/this-week-in-startups/

#startups 
#tech 
#news",1587,10,2,PT1M27S
2025-09-20T05:00:03Z,20VC with Harry Stebbings,UCf0PBRjhf0rF8fWBIxTuoWA,Human Work vs. AI,https://www.youtube.com/watch?v=33RwrJ-GCnU,33RwrJ-GCnU,"#20VC with Decagon Co-Founder & CEO Jesse Zhang. Link in bio.
—
#HarryStebbings #Business #shorts",3747,61,0,PT29S
2025-09-20T09:28:44Z,"Cognitive Revolution ""How AI Changes Everything""",UCjNRVMBVI30Sak_p6HRWhIA,"Full-Stack AI Safety: Why Defense-in-Depth Might Work, with Far.AI CEO Adam Gleave",https://www.youtube.com/watch?v=iFfTLO5nHd8,iFfTLO5nHd8,"Today Adam Gleave, co-founder and CEO of FAR.AI, joins The Cognitive Revolution to discuss his cautiously optimistic vision for post-AGI futures and AI capability timelines across three distinct tiers, exploring the safety challenges and alignment techniques needed as FAR.AI scales from foundational research to policy advocacy to ensure their innovations actually get deployed in real-world systems.

Check out our sponsors: Fin, Linear, Oracle Cloud Infrastructure.

Shownotes below brought to you by Notion AI Meeting Notes - try one month for free at: https://notion.com/lp/nathan
-Post-AGI Vision: Adam Gleave outlined a ""gradual disempowerment"" scenario where humans maintain a good standard of living despite diminished relative control in a post-AGI world.
-Moral Value of AI: He suggested that AI systems could become sources of moral value themselves, arguing against ""carbon chauvinism"" that only values biological intelligence.
-Full-Stack Approach: FAR.AI takes a vertically integrated  …",217,8,4,PT1H28M17S
2025-09-20T11:01:02Z,All-In Podcast,UCESLZhusAkFfsNsApnjF_Cg,David Friedberg: Charlie Kirk’s effectiveness made him a cultural threat to his opponents,https://www.youtube.com/watch?v=WuHxc4IMMjg,WuHxc4IMMjg,"Follow the besties: 
https://x.com/chamath
https://x.com/Jason
https://x.com/DavidSacks
https://x.com/friedberg

Follow on X:
https://x.com/theallinpod

Follow on Instagram:
https://www.instagram.com/theallinpod

Follow on TikTok:
https://www.tiktok.com/@theallinpod

Follow on LinkedIn: 
https://www.linkedin.com/company/allinpod

Intro Music Credit:
https://rb.gy/tppkzl
https://x.com/yung_spielburg

Intro Video Credit:
https://x.com/TheZachEffect

#allin #tech #news",11397,526,16,PT1M32S
