published,channel_title,channel_id,title,url,video_id,description,viewCount,likeCount,commentCount,duration
2025-09-15T16:15:57Z,Acquired,UCyFqFYfTW2VoIQKylJ04Rtw,F-117A Nighthawk’s $2.5 Billion Debut,https://www.youtube.com/watch?v=_3eHVAxMGJY,_3eHVAxMGJY,"F-117A Nighthawk’s $2.5 Billion Debut

#business #podcast #airplane #technology #tech 

Listen to the full episode 🎙️ Lockheed Martin - Season 12, Episode 5",44,1,0,PT41S
2025-09-15T16:22:15Z,This Week in Startups,UCkkhmBWfS7pILYIk0izkc3A,"TWiST Live: LA35 Kickoff, Google at $3T & Gemini #1",https://www.youtube.com/watch?v=5jsnikAzRsE,5jsnikAzRsE,"Join us live today! Jason and Alex break down the latest in tech, startups, and where founders are building next.

- Hosting a website… on a disposable vape (PY32F002B chips for $0.08!)
- LAUNCH Accelerator 35 + Founder U kickoff: meet the new batch
- Solar debate: Sec. Chris Wright vs. the data on PV + storage growth
- Trump floats ending quarterly earnings — would semi-annual filings help?
- Robinhood’s publicly traded VC fund: good for founders and retail?
- Alphabet hits $3T; Gemini tops the App Store; FTC eyes ads at Google/Amazon
- OpenAI/Microsoft rev-share shifts & PBC path — who’s winning?

- Fed decision this week, founder hacks from Reddit, and more!

Join us live today! 

⏰ LIVE today at:

- 11:00 AM PT
- 12:00 PM CT
- 1:00 PM ET

Follow along with our docket that we post LIVE here:
http://thisweekinstartups.com/docket",0,0,0,P0D
2025-09-15T16:45:18Z,"No Priors: AI, Machine Learning, Tech, & Startups",UCSI7h9hydQ40K5MJHnCrQvw,The Superpower of Ignorance,https://www.youtube.com/watch?v=ODSRBxeZG_Y,ODSRBxeZG_Y,"Ignorance is a rare superpower for entrepreneurs. Jensen Huang shares how starting from zero is painful yet rewarding, and why conviction must always be balanced with agility.

#podcast #tech",28,5,0,PT52S
2025-09-15T17:00:24Z,20VC with Harry Stebbings,UCf0PBRjhf0rF8fWBIxTuoWA,The Power of Big Customers,https://www.youtube.com/watch?v=J8DYBoiF_UA,J8DYBoiF_UA,"#20VC with Mercor Co-Founder & CEO Brendan Foody. Link in bio.
#HarryStebbings #shorts",8,1,0,PT28S
2025-09-15T19:00:43Z,Latent Space,UCxBcwypKK-W3GHd_RZ9FZrQ,Warp Flexible Coding Agent,https://www.youtube.com/watch?v=hHeHgkWPWfQ,hHeHgkWPWfQ,,49,0,0,PT1M1S
2025-09-15T19:39:19Z,Dwarkesh Patel,UCXl4i9dYBrFOabk0xGmbkRA,LLMs Finally Learned Our Secret: Prior Knowledge,https://www.youtube.com/watch?v=elBY-j-4pNA,elBY-j-4pNA,,6449,198,4,PT1M9S
2025-09-15T22:10:36Z,This Week in Startups,UCkkhmBWfS7pILYIk0izkc3A,There's a Reason NVIDIA Won The AI Chip Race!! 🤖,https://www.youtube.com/watch?v=yKsEXVT0Hqo,yKsEXVT0Hqo,"Subscribe to This Week In Startups: https://www.youtube.com/@startups/featured

Follow our hosts!
https://x.com/Jason
https://x.com/alex
https://x.com/lon

Follow on X:
https://x.com/twistartups

Follow on Instagram:
https://x.com/twistartups
[](https://www.instagram.com/thisweekinstartups/?hl=en)
Follow on TikTok:
https://www.tiktok.com/@thisweekinstartups?lang=en

Follow on LinkedIn: 
https://www.linkedin.com/company/this-week-in-startups/

#startups 
#tech 
#news",618,6,0,PT56S
2025-09-15T23:06:59Z,This Week in Startups,UCkkhmBWfS7pILYIk0izkc3A,"Robinhood Venture Fund, Polymarket adds earnings, and LAUNCH Accelerator 35 is here! | E2178",https://www.youtube.com/watch?v=B_DCWN1ff7E,B_DCWN1ff7E,"Today’s show: 

There are new LAUNCH Accelerator and Founder U cohorts this week, and Jason’s running down some of his favorite new startups. 

PLUS Alphabet is the latest member of the $3T club, why Eric Schmidt was SO RIGHT about remote work, Robinhood is opening up private companies to more investors, Polymarket adds earnings reports, how Jason wagered on The Emmys this year, and MORE!

Timestamps:

(0:00) It’s kickoff day for LAUNCH Accelerator 35 AND Founder University!
(02:32) Let’s talk about some new companies. Jason runs down the LA35 line-up and why he’s excited about these awesome startups.
(10:33) OpenPhone - Streamline and scale your customer communications with OpenPhone. Get 20% off your first 6 months at https://www.openphone.com/perks/twist
(11:57) Show Continues…
(19:50) Squarespace - Turn your idea into a beautiful website! Go to http://www.squarespace.com/twist for a free trial. When you’re ready to launch, use offer code TWIST to save 10% off your first purchase of …",287,16,53,PT1H23S
2025-09-15T23:37:25Z,All-In Podcast,UCESLZhusAkFfsNsApnjF_Cg,Tulsi Gabbard on Russiagate Hoax Evidence and How She’s Reforming Politicized Intelligence Agencies,https://www.youtube.com/watch?v=ZVPz_mSOV-U,ZVPz_mSOV-U,"(0:00) Introducing Tulsi Gabbard, US Director of National Intelligence
(1:21) The Russiagate Hoax Conspiracy and the dangers of highly politicized intelligence agencies
(17:31) Russian interference in 2016, cleaning up intelligence agencies, increasing accountability
(25:54) How Tulsi is received in her home state of Hawaii after switching parties, the drastic change of the Democratic Party
(30:16) Thoughts on bombing Iran, what impacts her views on foreign policy and war
(35:15) The impact of designating drug cartels as terrorist orgs, safety at the Southern Border, China

Thanks to our partners for making this happen!

Solana: https://solana.com/

OKX: https://www.okx.com/

Google Cloud: https://cloud.google.com/

IREN: https://iren.com/

Oracle: https://www.oracle.com/

Circle: https://www.circle.com/

BVNK: https://www.bvnk.com/

Polymarket: https://www.polymarket.com/

Athletic Brewing: https://athleticbrewing.com/

Follow Tulsi:
https://x.com/tulsigabbard

Follow the besties: 
ht …",4760,380,59,PT41M54S
