published,channel_title,channel_id,title,url,video_id,description,viewCount,likeCount,commentCount,duration
2025-08-29T20:43:32Z,Dwarkesh Patel,UCXl4i9dYBrFOabk0xGmbkRA,Why Japan Had Only 3 Years to Build an Empire - Sarah Paine,https://www.youtube.com/watch?v=dgTcebBbVwg,dgTcebBbVwg,,583697,20364,221,PT2M
2025-09-13T05:01:00Z,20VC with Harry Stebbings,UCf0PBRjhf0rF8fWBIxTuoWA,The Future of Forms,https://www.youtube.com/watch?v=p_4NJ89Wp-g,p_4NJ89Wp-g,"#20VC with Gong.io Co-Founder & CEO Amit Bendov. Link in bio.
—
#HarryStebbings #Business #shorts",6579,68,0,PT21S
2025-09-13T07:00:35Z,Latent Space,UCxBcwypKK-W3GHd_RZ9FZrQ,⚡️Traversal: Causal ML and Reinforcement Learning,https://www.youtube.com/watch?v=XquVJ-v0ML4,XquVJ-v0ML4,Traversal.ai,386,13,2,PT49M12S
2025-09-13T12:00:25Z,Latent Space,UCxBcwypKK-W3GHd_RZ9FZrQ,Hercules AI Driven App Builder,https://www.youtube.com/watch?v=FoPH-e0n-4U,FoPH-e0n-4U,,46,2,0,PT45S
2025-09-13T14:01:05Z,20VC with Harry Stebbings,UCf0PBRjhf0rF8fWBIxTuoWA,Tesla’s Bet On Elon,https://www.youtube.com/watch?v=d3ZcEIra3aI,d3ZcEIra3aI,"#20VC with Scale GP Rory O’Driscoll, SaaStr Founder Jason Lemkin & Twilio Co-Founder Jeff Lawson. Link in bio.
—
#HarryStebbings #Business #shorts",6729,152,1,PT1M11S
2025-09-13T15:01:28Z,Masters of Scale,UCiemDAS1bXMBTx3jIIOukFg,How Omaze turned a #breakingbad experience into $1.7M | Masters of Scale,https://www.youtube.com/watch?v=vzcjA0v54RI,vzcjA0v54RI,"Step inside the origin story of Omaze with co-founder and CEO Matthew Pohlson. In conversation with Masters of Scale host Jeff Berman, Matthew shares how a single experience with Breaking Bad stars Bryan Cranston and Aaron Paul — complete with hazmat suits, “blue candy,” and even an unexpected Warren Buffett cameo — catapulted Omaze into the spotlight. Discover how turning once-in-a-lifetime moments into fundraising opportunities reshaped charitable giving, raising $1.7 million versus a $40,000 auction bid.

📫 THE MASTERS OF SCALE NEWSLETTER
35,000+ read our free weekly newsletter packed with insights from the world’s most iconic business leaders. Sign up: https://hubs.la/Q01RPQH-0

🎧 LISTEN TO THE PODCAST
Apple Podcasts: https://mastersofscale.com/ApplePodcasts
Spotify: https://mastersofscale.com/Spotify

💻 LEARN MORE
Our website: https://mastersofscale.com

🚀 JOIN OUR COMMUNITY
LinkedIn: https://linkedin.com/showcase/11096326
Facebook: https://facebook.com/mastersofscale
Instagram: h …",1148,5,0,PT48S
2025-09-13T16:00:53Z,"No Priors: AI, Machine Learning, Tech, & Startups",UCSI7h9hydQ40K5MJHnCrQvw,What’s Holding AI Back,https://www.youtube.com/watch?v=ZoWkxSxLJbE,ZoWkxSxLJbE,"From GPT-1 to GPT-3, the models have shown incredible progress.

But as Ilya Sutskever explains, the real challenge isn’t size, it’s reliability. For AI to be trusted in consequential decisions, it must deliver consistent, dependable answers every time.

#podcast #ai #business #tech",1575,42,0,PT35S
2025-09-13T16:54:04Z,"Cognitive Revolution ""How AI Changes Everything""",UCjNRVMBVI30Sak_p6HRWhIA,"User-Owned AI: On-Chain Training, Inference, and Agents, with NEAR's Illia Polosukhin",https://www.youtube.com/watch?v=2cdQCTCtfQM,2cdQCTCtfQM,"Illia Polosukhin, co-author of the seminal ""Attention Is All You Need"" paper and founder of NEAR, unveils his ambitious vision for user-owned, privacy-preserving AI. This technical deep dive explores NEAR's foundational infrastructure, from its proof-of-stake consensus and leveraging NVIDIA's confidential computing for private inference with minimal overhead. Listeners will discover how NEAR aims to decentralize model training with cryptographically guaranteed returns and how blockchain can provide stronger guarantees for AI agent behavior, setting the stage for a future where AI truly belongs to everyone.

Sponsors:
Linear: Linear is the system for modern product development. Nearly every AI company you've heard of is using Linear to build products. Get 6 months of Linear Business for free at: https://linear.app/tcr

Oracle Cloud Infrastructure: Oracle Cloud Infrastructure (OCI) is the next-generation cloud that delivers better performance, faster speeds, and significantly lower costs …",239,14,2,PT1H32M47S
2025-09-13T18:06:51Z,This Week in Startups,UCkkhmBWfS7pILYIk0izkc3A,"All-In Summit Highlights, Schools Could Block Social Media and Zoox hits Vegas | E2177",https://www.youtube.com/watch?v=7mDB5ze0jIE,7mDB5ze0jIE,"Today’s show: 

On Friday’s TWiST, Jason, Alex, and Lon look back at some highlights from this week’s big All-In Summit in Los Angeles, including a fiery, no holds barred presentation from Palantir CEO Alex Karp, Elon Musk delving into the key challenges facing Optimus, and Tucker Carlson debating Mark Cuban on Ukraine. PLUS… why schools may start blocking social media apps, the FTC’s new investigation into social chatbots, AND omnidirectional Zoox robotaxis are headed to Las Vegas.

**Timestamps:**

- Welcome back to TWiST!
- (1:52) Jason’s thoughts on the killing of Charlie Kirk
- (10:34) Squarespace - Use offer code TWIST to save 10% off your first purchase of a website or domain at [https://www.Squarespace.com/TWIST](https://squarespace.com/twist)
- (10:52) Show Continues …
- (12:15) Reacting to All-In Summit highlights (Elon Musk, Alex Karp, Tucker Carlson, Mark Cuban)
- (21:23) AWS Activate - AWS Activate helps startups bring their ideas to life. Apply to AWS Activate today to le …",1586,32,13,PT1H28M32S
2025-09-13T18:18:52Z,Dwarkesh Patel,UCXl4i9dYBrFOabk0xGmbkRA,How AI Is Making Robotics Cheaper,https://www.youtube.com/watch?v=LHJHQRw5wbk,LHJHQRw5wbk,,13262,367,10,PT59S
