published,channel_title,channel_id,title,url,video_id,description,viewCount,likeCount,commentCount,duration
2025-10-01T07:00:09Z,Latent Space,UCxBcwypKK-W3GHd_RZ9FZrQ,LLMs as Re Rankers The New Retrieval Hack,https://www.youtube.com/watch?v=9E5zgNFXpuI,9E5zgNFXpuI,Jeff breaks down how LLMs are being used as re-rankers and why this might replace traditional re-ranking methods. A cutting-edge look at the future of retrieval.,663,10,1,PT1M16S
2025-10-01T12:01:33Z,Latent Space,UCxBcwypKK-W3GHd_RZ9FZrQ,Game-Changing AI Safety Insight 🎯,https://www.youtube.com/watch?v=fkeQ_qdZTpk,fkeQ_qdZTpk,"Why AI alignment should happen during pre-training, not after. This could completely change how we make AI systems safer and more reliable",137,2,0,PT1M18S
2025-10-01T14:00:02Z,Uncapped with Jack Altman,UC6wghONDqjhSw5KsXrnSTuA,"Pixar’s Golden Age, Twitter through IPO, and Building YC’s Growth Fund | Ali Rowghani",https://www.youtube.com/watch?v=1hdpCLEcokw,1hdpCLEcokw,"(If you enjoyed this, please like and subscribe!)

Ali Rowghani is the founder of First Harmonic, a go-to-market program purpose-built for seed stage founders. 

Ali has had a long, distinguished career in tech. He worked with Steve Jobs and Ed Catmull at Pixar for nine years holding various roles including CFO and SVP of Strategic Planning, took Twitter from $0 in revenue through IPO as the CFO and COO, and most recently was the founding Managing Director of Y Combinator’s Continuity Fund where he led investments in DoorDash, Stripe, Coinbase, Zapier, among many others. Ali has also invested as an early angel in several breakout AI companies, including Mercor, Decagon, and Cursor. He’s seen the arc from inception to IPO many times and recognizes what separates winning startups from the pack.

We covered:
- Pixar’s golden age 
- Exceptional leadership 
- Working with Steve Jobs
- Twitter going from $0 to $2B
- Operating beliefs in venture

Timestamps:
(0:00) Intro
(0:53) Pixar’s miracl …",324,15,1,PT41M11S
2025-10-01T14:00:59Z,20VC with Harry Stebbings,UCf0PBRjhf0rF8fWBIxTuoWA,Is AI a Bubble?,https://www.youtube.com/watch?v=Zlgf0gVJlfM,Zlgf0gVJlfM,"#20VC with Groq Founder & CEO Jonathan Ross. Link in bio.
—
#HarryStebbings #Business #shorts",10461,164,2,PT34S
2025-10-01T15:00:47Z,"No Priors: AI, Machine Learning, Tech, & Startups",UCSI7h9hydQ40K5MJHnCrQvw,The Future of Learning,https://www.youtube.com/watch?v=Lwzh3QWm52g,Lwzh3QWm52g,"Joe Liemandt says the current education model is broken. Students can finish what traditionally takes a full school day’s academics within two hours using AI-powered adaptive learning. 

#podcast #truth #ai",740,8,0,PT26S
2025-10-01T17:30:24Z,Masters of Scale,UCiemDAS1bXMBTx3jIIOukFg,Alphabet's Astro Teller: How bad ideas can spark innovation | Masters of Scale Summit,https://www.youtube.com/watch?v=_iLJU4HORAA,_iLJU4HORAA,"Apply to attend Masters of Scale Summit 2025 (Oct. 7-9): https://www.summit.mastersofscale.com

What if the best way to spark innovation is to start with the worst ideas?

From the Masters of Scale Summit stage in 2024, Astro Teller, Captain of Moonshots at Alphabet's innovation lab, X, reveals the power of the “Bad Idea Brainstorm” — an exercise designed to unlock creativity, lower the pressure of perfection, and pave the way to breakthrough thinking. In conversation with @PioneersofAI host Rana el Kaliouby, Astro shares why bad ideas are the secret to uncovering brilliant ones and how a culture of 10x thinking empowers teams to solve huge global problems.

📫 THE MASTERS OF SCALE NEWSLETTER
35,000+ read our free weekly newsletter packed with insights from the world’s most iconic business leaders. Sign up: https://hubs.la/Q01RPQH-0

🎧 LISTEN TO THE PODCAST
Apple Podcasts: https://mastersofscale.com/ApplePodcasts
Spotify: https://mastersofscale.com/Spotify

💻 LEARN MORE
Our website: htt …",55,1,0,PT3M26S
2025-10-01T19:11:45Z,Dwarkesh Patel,UCXl4i9dYBrFOabk0xGmbkRA,Why Putin's NATO Nightmare Is Self-Inflicted - Sarah Paine,https://www.youtube.com/watch?v=1Fi3WN5Ds4U,1Fi3WN5Ds4U,,694066,24127,1217,PT1M18S
2025-10-01T19:19:27Z,Acquired,UCyFqFYfTW2VoIQKylJ04Rtw,Shopify CEO on Physical Stores,https://www.youtube.com/watch?v=Dqa-JLpj30c,Dqa-JLpj30c,"Shopify CEO on Physical Stores

#business #podcast 

Listen to the full ACQ2 episode 🎙️ How to Live in Everyone Else's Future (with Shopify CEO Tobi Lütke)",1243,42,1,PT54S
2025-10-01T19:25:47Z,Latent Space,UCxBcwypKK-W3GHd_RZ9FZrQ,"⚡️Raising $1.1b to build the fastest LLM Chips on Earth — Andrew Feldman, Cerebras",https://www.youtube.com/watch?v=7UGjf080qag,7UGjf080qag,"Andrew Feldman, CEO of Cerebras, joins us to discuss their massive $1.1B fundraise at an $8.1B valuation and their mission to build the fastest AI inference chips on Earth. He breaks down how Cerebras achieved 20x faster performance than NVIDIA's B200 GPUs through their revolutionary wafer-scale architecture, featuring a chip the size of a dinner plate with 2,625x more memory bandwidth than traditional GPUs.

Andrew shares the journey from meeting Sam Altman and Ilya Sutskever at OpenAI in 2016 when they were ""just PowerPoint and an idea,"" to now serving major customers like Cognition, Mistral, Meta, and IBM. He explains the fundamental architectural decisions that enabled Cerebras to excel at both training and inference, including their choice to use SRAM over HBM memory and their focus on sparse linear algebra rather than specialized convolutions.

The conversation covers the explosive growth in AI inference demand, with enterprises increasingly replacing closed-source models with fa …",537,22,0,PT29M14S
2025-10-01T19:57:01Z,All-In Podcast,UCESLZhusAkFfsNsApnjF_Cg,Multicoin Capital’s Kyle Samani on Internet Capital Markets,https://www.youtube.com/watch?v=ijbLOWFmVe8,ijbLOWFmVe8,"(0:00) Introducing Kyle Samani
(1:07) History of modern capital markets
(3:25) What a redesigned capital market structure would look like in 2025
(8:22) Examples of the future of internet capital markets

Thanks to our partners for making this happen!

Solana - Solana is the high performance network powering internet capital markets, payments, and crypto applications. Connect with investors, crypto founders, and entrepreneurs at Solana’s global flagship event during Abu Dhabi Finance Week & F1: https://solana.com/breakpoint

OKX - The new way to build your crypto portfolio and use it in daily life. We call it the new money app. https://www.okx.com/

Google Cloud - The next generation of unicorns is building on Google Cloud's industry-leading, fully integrated AI stack: infrastructure, platform, models, agents, and data. https://cloud.google.com/

IREN - IREN AI Cloud, powered by NVIDIA GPUs, provides the scale, performance, and reliability to accelerate your AI journey. https://iren.co …",7587,237,23,PT13M32S
