published,channel_title,channel_id,title,url,video_id,description,viewCount,likeCount,commentCount,duration
2025-09-11T12:01:30Z,Latent Space,UCxBcwypKK-W3GHd_RZ9FZrQ,Anthropic's Coding Battleground,https://www.youtube.com/watch?v=lNXdjvgEcc0,lNXdjvgEcc0,,769,7,0,PT45S
2025-09-11T13:58:53Z,20VC with Harry Stebbings,UCf0PBRjhf0rF8fWBIxTuoWA,"OpenAI’s $10BN Secondary Sale, Ramp Hits $1BN ARR & Brex Hits $700M",https://www.youtube.com/watch?v=I5vRmsMS3ms,I5vRmsMS3ms,"Jason Lemkin is one of the leading SaaS investors of the last decade with a portfolio including the likes of Algolia, Talkdesk, Owner, RevenueCat, Saleloft and more.

Rory O’Driscoll is a General Partner @ Scale where he has led investments in category leaders such as Bill.com (BILL), Box (BOX), DocuSign (DOCU), and WalkMe (WKME), among others.

Jeff Lawson is the co-founder and former CEO of Twilio (TWLO), the developer-first cloud communications platform that pioneered APIs for voice, messaging, email (via SendGrid), and customer data (via Segment). Previously he was the founding CTO at StubHub, a product manager at AWS, co-founded Versity.
-----------------------------------------------

In Today’s Episode We Discuss:

00:00 Intro 
01:16 Elon Musk's Trillion Dollar Pay Package
04:26 Compensation Trends for Founders and CEOs
19:03 Ramp at $1B ARR, Brex at $700M - Is AI Causing All Boats To Rise?
24:34 Sierra at $100M ARR Worth $10B - Bubble or Brilliant Bet?
30:18 Kleiner Perkins Inv …",3651,73,19,PT1H34M13S
2025-09-11T14:01:25Z,20VC with Harry Stebbings,UCf0PBRjhf0rF8fWBIxTuoWA,“Diligence isn’t even being Attempted”,https://www.youtube.com/watch?v=ki6g-nmJunA,ki6g-nmJunA,"#20VC with Scale GP Rory O’Driscoll, SaaStr Founder Jason Lemkin & Twilio Co-Founder Jeff Lawson. Link in bio.
—
#HarryStebbings #Business #shorts",2436,66,0,PT50S
2025-09-11T16:30:37Z,Latent Space,UCxBcwypKK-W3GHd_RZ9FZrQ,"Context Engineering for Agents - Lance Martin, LangChain",https://www.youtube.com/watch?v=_IlTcWciEC4,_IlTcWciEC4,"Lance: https://www.linkedin.com/in/lance-martin-64a33b5/

How Context Fails: https://www.dbreunig.com/2025/06/22/how-contexts-fail-and-how-to-fix-them.html
How New Buzzwords Get Created: https://www.dbreunig.com/2025/07/24/why-the-term-context-engineering-matters.html
Content Engineering: https://x.com/RLanceMartin/status/1948441848978309358 https://rlancemartin.github.io/2025/06/23/context_engineering/ https://docs.google.com/presentation/d/16aaXLu40GugY-kOpqDU4e-S0hD1FmHcNyF0rRRnb1OU/edit?usp=sharing
Manus Post: https://manus.im/blog/Context-Engineering-for-AI-Agents-Lessons-from-Building-Manus
Cognition Post: https://cognition.ai/blog/dont-build-multi-agents
Multi-Agent Researcher: https://www.anthropic.com/engineering/multi-agent-research-system
Human-in-the-loop + Memory: https://github.com/langchain-ai/agents-from-scratch
- Bitter Lesson in AI Engineering -
Hyung Won Chung on the Bitter Lesson in AI Research: https://www.youtube.com/watch?v=orDKvo8h71o
Bitter Lesson w/ Claude Cod …",1468,92,6,PT1H3M18S
2025-09-11T17:17:31Z,This Week in Startups,UCkkhmBWfS7pILYIk0izkc3A,AI Copyright & Training Data w/ Chris Paniewski | Wilson Sonsini Startup Legal Basics,https://www.youtube.com/watch?v=gL2N5PNhunM,gL2N5PNhunM,"Today’s show:

Jason sits down with Wilson Sonsini partner Chris Paniewski for a special Startup Legal Basics on one of the thorniest questions in tech right now: how copyright law applies to AI training data.

Chris has worked on some of the biggest AI deals ever — including Scale AI’s $14B+ partnership with Meta and OpenAI’s $6.5B acquisition of Jony Ive’s design studio — and brings practical, on-the-ground insights from advising leading AI companies.

In this episode, Jason and Chris cover:

• Why AI copyright law is unsettled and will take years to shake out
• The difference between *training data* and *output* in legal terms
• How “fair use” really works (and why it’s a defense, not a permission slip)
• The risks of scraping vs. licensing, and why open source ≠ free use
• How investors are diligencing AI startups around training data
• Why startups must think differently once they’re funded vs. hacking in a dorm room

Whether you’re building an AI product, investing in one, or jus …",15603,335,44,PT18M7S
2025-09-11T18:00:09Z,20VC with Harry Stebbings,UCf0PBRjhf0rF8fWBIxTuoWA,AI is Coming for SaaS,https://www.youtube.com/watch?v=8U7CNM5vlT0,8U7CNM5vlT0,"#20VC with Scale GP Rory O’Driscoll, SaaStr Founder Jason Lemkin & Twilio Co-Founder Jeff Lawson
#HarryStebbings #shorts",2288,42,1,PT39S
2025-09-11T18:36:53Z,Masters of Scale,UCiemDAS1bXMBTx3jIIOukFg,Omaze’s Matthew Pohlson on the near-death moment that built a better business | Masters of Scale,https://www.youtube.com/watch?v=ITPEJ9T1Gaw,ITPEJ9T1Gaw,"Matthew Pohlson’s dreams of building a company were almost cut short by a near-death experience. The CEO and co-founder of Omaze reveals how it changed his mindset, and unlocked new ways to scale his business. 

Chapters:
00:00 Introducing Matt Pohlson
01:37 How Magic Johnson inspired Omaze
08:20 Matt's near-death experience
15:48 Transforming fear into a new leadership perspective
22:53 The importance of storytelling in leading change
24:24 Why Omaze pivoted operations from the US to the UK
27:53 Omaze's RFP approach to charity selection
30:41 Business as an inherent good

📫 THE MASTERS OF SCALE NEWSLETTER
35,000+ read our free weekly newsletter packed with insights from the world’s most iconic business leaders. Sign up: https://hubs.la/Q01RPQH-0

🎧 LISTEN TO THE PODCAST
Apple Podcasts: https://mastersofscale.com/ApplePodcasts
Spotify: https://mastersofscale.com/Spotify

💻 LEARN MORE
Our website: https://mastersofscale.com

🚀 JOIN OUR COMMUNITY
LinkedIn: https://linkedin.com/showcase/ …",78,3,0,PT35M2S
2025-09-11T19:00:14Z,Latent Space,UCxBcwypKK-W3GHd_RZ9FZrQ,Coding Assistants for Non Technical Users,https://www.youtube.com/watch?v=AoqiDYDjaXk,AoqiDYDjaXk,,275,5,0,PT56S
2025-09-11T21:41:45Z,Dwarkesh Patel,UCXl4i9dYBrFOabk0xGmbkRA,How Nazi U-Boats Nearly Broke Britain - Sarah Paine,https://www.youtube.com/watch?v=QusozvLcDZM,QusozvLcDZM,,104906,4345,88,PT1M22S
2025-09-12T02:33:14Z,This Week in Startups,UCkkhmBWfS7pILYIk0izkc3A,The 1% doesn’t want you in private markets,https://www.youtube.com/watch?v=1OIII0g-mmE,1OIII0g-mmE,"Subscribe to This Week In Startups: https://www.youtube.com/@startups/featured

Follow our hosts!
https://x.com/Jason
https://x.com/alex
https://x.com/lon

Follow on X:
https://x.com/twistartups

Follow on Instagram:
https://www.instagram.com/thisweekinstartups/?hl=en

Follow on TikTok:
https://www.tiktok.com/@thisweekinstartups?lang=en

Follow on LinkedIn: 
https://www.linkedin.com/company/this-week-in-startups/

#startups #tech #news",470,9,0,PT52S
