published,channel_title,channel_id,title,url,video_id,description,viewCount,likeCount,commentCount,duration
2025-09-24T05:00:33Z,20VC with Harry Stebbings,UCf0PBRjhf0rF8fWBIxTuoWA,90% AI Employees? 🤔,https://www.youtube.com/watch?v=PcKEkfoknyc,PcKEkfoknyc,"#20VC with General Catalyst Co-Founder & CEO Hemant Taneja. Link in bio.
—
#HarryStebbings #Business #shorts",5223,100,2,PT33S
2025-09-24T12:01:37Z,Latent Space,UCxBcwypKK-W3GHd_RZ9FZrQ,AI App Builder Chatjuby T's Potential,https://www.youtube.com/watch?v=nINY9VTG8VE,nINY9VTG8VE,,227,2,0,PT51S
2025-09-24T13:00:25Z,Unsupervised Learning: Redpoint's AI Podcast,UCUl-s_Vp-Kkk_XVyDylNwLA,"AI Talent Wars, xAI’s $200B Valuation, & Google’s Comeback",https://www.youtube.com/watch?v=IvhKYmSb6f8,IvhKYmSb6f8,"This episode features a deep dive into the current state of AI model progress with Ari Morcos (CEO of Datalogy AI and former DeepMind/Meta researcher) and Rob Toews (partner at Radical Ventures). The conversation tackles whether model progress is genuinely slowing down or simply shifting into new paradigms, exploring the role of reinforcement learning in scaling capabilities beyond traditional pre-training. They examine the talent wars reshaping AI labs, Google's resurgence with Gemini, the sustainability of massive valuations for companies like OpenAI and Anthropic, and the infrastructure ecosystem supporting this rapid evolution. The discussion weaves together technical insights on data quality, synthetic data generation, and RL environments with strategic perspectives on acquisitions, regulatory challenges, and the future intersection of AI with physical robotics and brain-computer interfaces.

0:00 Intro
2:59 Debate on Model Progress
8:03 Challenges in AI Generalization and RL Envi …",892,33,1,PT1H2M6S
2025-09-24T13:45:02Z,Uncapped with Jack Altman,UC6wghONDqjhSw5KsXrnSTuA,Going Direct | Lulu Cheng Meservey,https://www.youtube.com/watch?v=GRoU1T4E9rQ,GRoU1T4E9rQ,"(If you enjoyed this, please like and subscribe!)

Lulu Cheng Meservey is the leading voice in the new age of PR and comms and is the founder of Rostra, an advisory firm helping founders go direct. 

Lulu has been a trusted voice for founders like Palmer Luckey at Anduril, Eric Glyman at Ramp, and Brian Armstrong at Coinbase. She previously ran corporate affairs and communications for Activision Blizzard and was the head of comms for Substack. 

Lulu writes an acclaimed newsletter called Flack, where she proposes her new playbook for communications and shares tactical advice for how to help win over the people who matter, without wasting time or inducing cringe. 

A few memorable moments:
- Aura is code for good communicator
- People like to have assumptions for the level of celebration you deserve
- The correct version of this company has him in it
- Words that mean the same thing aren’t perceived the same way
- Comms is the last thing to be uniquely human

Timestamps:
(0:00) Intro
(0 …",1270,78,3,PT50M19S
2025-09-24T14:01:45Z,20VC with Harry Stebbings,UCf0PBRjhf0rF8fWBIxTuoWA,Missing out BIG on Coinbase,https://www.youtube.com/watch?v=u4R9I3HO6ck,u4R9I3HO6ck,"#20VC with General Catalyst Co-Founder & CEO Hemant Taneja. Link in bio.
—
#HarryStebbings #Business #shorts",4221,71,0,PT32S
2025-09-24T14:37:56Z,a16z,UC9cn0TuPq4dnbTY-CBsm8XA,Software finally eats services - Aaron Levie,https://www.youtube.com/watch?v=JI_lyrkh4Gs,JI_lyrkh4Gs,"Should the US put a price on H-1B visas, or would that block the flow of new talent? Are AI coding agents actually making teams way more productive, or is it just hype? And in the AI platform shift, will the big winners be incumbents or new AI-native startups?

Erik Torenberg is joined by Box co-founder and CEO Aaron Levie, a16z board partner Steven Sinofsky, and a16z general partner Martin Casado to debate the biggest questions in tech. They unpack pricing vs lottery for H-1Bs and what we’re actually optimizing for, why Box now ships a third of its code from AI, the shift from writing to reviewing code, and why bottom-up personal AI tools succeed where top-down “AI pilots” struggle.

Timecodes: 
0:00 Introduction
0:55  Latest immigration policy and who benefits
2:46  Salary bands as a solution for tech talent allocation
5:39  Optimizing immigration policy for wages, jobs, or merit
8:08  Market dynamics and policy changes in tech hiring
12:52  AI effects on labor productivity and devel …",5308,,14,PT59M35S
2025-09-24T14:48:24Z,"No Priors: AI, Machine Learning, Tech, & Startups",UCSI7h9hydQ40K5MJHnCrQvw,Brain Co: Real AI Solutions,https://www.youtube.com/watch?v=LvNLoSQpkgY,LvNLoSQpkgY,"Jared Kushner explains why he co-founded Brain Co. The goal is to bridge real business problems with AI and build solutions that can keep up with rapidly evolving models.

#podcast #business #ai #tech",656,11,0,PT46S
2025-09-24T16:03:27Z,Masters of Scale,UCiemDAS1bXMBTx3jIIOukFg,"The future of AI innovation (Mustafa Suleyman, Bret Taylor & more) | Masters of Scale Summit",https://www.youtube.com/watch?v=0U5aG3F83_4,0U5aG3F83_4,"Apply to attend Masters of Scale Summit 2025 (Oct. 7-9): www.summit.mastersofscale.com

At last year's Masters of Scale Summit, the world's top technologists and AI thinkers shared bold perspectives on the future of AI and humanity. In this compilation video, you'll hear AI takes from Masters of Scale host Reid Hoffman, Microsoft AI's Mustafa Suleyman, @PioneersofAI host Rana el Kaliouby, OpenAI's Bret Taylor, Inflection AI's Dr. Sean White, and Astro Teller, the CEO of Google's innovation lab. 

📫 THE MASTERS OF SCALE NEWSLETTER
35,000+ read our free weekly newsletter packed with insights from the world’s most iconic business leaders. Sign up: https://hubs.la/Q01RPQH-0

🎧 LISTEN TO THE PODCAST
Apple Podcasts: https://mastersofscale.com/ApplePodcasts
Spotify: https://mastersofscale.com/Spotify

💻 LEARN MORE
Our website: https://mastersofscale.com

🚀 JOIN OUR COMMUNITY
LinkedIn: https://linkedin.com/showcase/11096326
Facebook: https://facebook.com/mastersofscale
Instagram: https://insta …",128,3,1,PT11M9S
2025-09-24T17:27:29Z,All-In Podcast,UCESLZhusAkFfsNsApnjF_Cg,Jason Calacanis: Disclose your algorithm or lose Section 230 protections,https://www.youtube.com/watch?v=ZTOhP5ui3sU,ZTOhP5ui3sU,"Subscribe to All-In: https://www.youtube.com/@allin?sub_confirmation=1

Full episode: https://youtu.be/1X6xwxQRXlY

Follow the besties: 
https://x.com/chamath
https://x.com/Jason
https://x.com/DavidSacks
https://x.com/friedberg

Follow on X:
https://x.com/theallinpod

Follow on Instagram:
https://www.instagram.com/theallinpod

Follow on TikTok:
https://www.tiktok.com/@theallinpod

Follow on LinkedIn: 
https://www.linkedin.com/company/allinpod

Intro Music Credit:
https://rb.gy/tppkzl
https://x.com/yung_spielburg

Intro Video Credit:
https://x.com/TheZachEffect

#allin #tech #news",8510,262,14,PT48S
2025-09-24T18:41:36Z,Dwarkesh Patel,UCXl4i9dYBrFOabk0xGmbkRA,Putin’s Real Problem Isn’t NATO - Sarah Paine,https://www.youtube.com/watch?v=elJtRqY4k-0,elJtRqY4k-0,,991648,26277,1393,PT47S
